; matrix-scan  -quick -v 2 -m results/leaderboard/train/CHS/GABPA/THC_0866/peak-motifs-nopurge/clustered_motifs/matrix-clusters_aligned_logos/All_concatenated_motifs_trimmed-info_0.1.tf -matrix_format transfac -i data/leaderboard/train/CHS/GABPA/THC_0866_rand-loci.fa -seq_format fasta -bgfile bg_models/equiprobable_1str.tsv -bg_pseudo 0.01 -pseudo 1 -decimals 1 -2str -return sites -uth rank_pm 1 -n score
; Quick counting mode           
; Input files
;	data/leaderboard/train/CHS/GABPA/THC_0866_rand-loci.fa
;	bg_models/equiprobable_1str.tsv
; Matrix files
;	results/leaderboard/train/CHS/GABPA/THC_0866/peak-motifs-nopurge/clustered_motifs/matrix-clusters_aligned_logos/All_concatenated_motifs_trimmed-info_0.1.tf
; Sequence format      
; Pseudo counts        
; Background model
;	file
;
;	sensitive
;	0.01
;
;	a	0.25000
;	c	0.25000
;	g	0.25000
;	t	0.25000
; Thresholds	upper
;	NA	1    
; Output columns
;	seq_id
;	ft_type
;	ft_name
;	strand
;	start
;	end
;	sequence
;	weight
#seq_id	ft_name	strand	start	end	weight
randfragment_72_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000023.11:153274797:153275161:R	cluster_3_node_1_2motifs	D	157	182	0.8
randfragment_73_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000018.10:23658992:23659483:R	cluster_3_node_1_2motifs	R	372	397	0.8
randfragment_74_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:116525136:116525643:D	cluster_3_node_1_2motifs	D	7	32	-4.2
randfragment_75_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000007.14:155855439:155855897:R	cluster_3_node_1_2motifs	D	107	132	-6.6
randfragment_76_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:149774460:149774770:D	cluster_3_node_1_2motifs	D	261	286	6.5
randfragment_77_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000012.12:87635174:87636501:R	cluster_3_node_1_2motifs	R	809	834	-1.9
randfragment_78_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000007.14:93094825:93095299:D	cluster_3_node_1_2motifs	R	175	200	-2.3
randfragment_79_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000019.10:26559985:26560559:R	cluster_3_node_1_2motifs	D	355	380	-8.7
randfragment_80_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:96743639:96743948:R	cluster_3_node_1_2motifs	D	261	286	0.1
randfragment_81_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:3634029:3634389:D	cluster_3_node_1_2motifs	R	268	293	6.0
randfragment_82_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:57370283:57370835:R	cluster_3_node_1_2motifs	D	502	527	-8.2
randfragment_83_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000013.11:30993422:30993787:D	cluster_3_node_1_2motifs	R	27	52	-1.9
randfragment_84_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000013.11:101189436:101189976:R	cluster_3_node_1_2motifs	R	51	76	-5.7
randfragment_85_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000003.12:112315853:112316342:D	cluster_3_node_1_2motifs	R	93	118	-4.8
randfragment_86_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000013.11:79083824:79084430:R	cluster_3_node_1_2motifs	D	385	410	-6.2
randfragment_87_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:110785611:110786072:D	cluster_3_node_1_2motifs	R	435	460	-1.1
randfragment_88_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:205652454:205653057:D	cluster_3_node_1_2motifs	R	311	336	0.7
randfragment_89_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000016.10:3061204:3061660:R	cluster_3_node_1_2motifs	D	207	232	1.0
randfragment_90_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:39414026:39414455:D	cluster_3_node_1_2motifs	D	142	167	-6.0
randfragment_91_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:222616418:222616783:R	cluster_3_node_1_2motifs	R	194	219	-6.0
randfragment_92_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:206726452:206727030:R	cluster_3_node_1_2motifs	R	90	115	-4.9
randfragment_93_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000009.12:64461575:64462060:D	cluster_3_node_1_2motifs	R	388	413	2.7
randfragment_94_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:53335087:53335745:D	cluster_3_node_1_2motifs	R	181	206	-2.9
randfragment_95_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:22309025:22309654:D	cluster_3_node_1_2motifs	R	18	43	-5.7
randfragment_96_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:72840170:72840592:R	cluster_3_node_1_2motifs	D	152	177	-2.3
randfragment_97_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:131621260:131621885:R	cluster_3_node_1_2motifs	R	273	298	4.0
randfragment_98_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000009.12:78506263:78506731:R	cluster_3_node_1_2motifs	R	94	119	-0.1
randfragment_99_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000007.14:79821848:79822178:D	cluster_3_node_1_2motifs	D	171	196	-14.6
randfragment_100_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:106681089:106681370:D	cluster_3_node_1_2motifs	R	10	35	-1.7
randfragment_101_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000008.11:47901435:47901835:D	cluster_3_node_1_2motifs	D	148	173	-1.6
randfragment_102_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000020.11:49503607:49504130:D	cluster_3_node_1_2motifs	D	219	244	2.1
randfragment_103_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000016.10:58763834:58764228:D	cluster_3_node_1_2motifs	R	222	247	-11.2
randfragment_104_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:49237362:49237701:D	cluster_3_node_1_2motifs	R	245	270	-8.5
randfragment_105_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:144953329:144953678:D	cluster_3_node_1_2motifs	R	104	129	-5.1
randfragment_106_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000023.11:7583910:7584394:D	cluster_3_node_1_2motifs	D	105	130	-5.2
randfragment_107_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:244891555:244892147:R	cluster_3_node_1_2motifs	D	444	469	5.7
randfragment_108_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:35297622:35297899:D	cluster_3_node_1_2motifs	D	176	201	-3.6
randfragment_109_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000012.12:68889033:68889586:R	cluster_3_node_1_2motifs	D	18	43	-1.1
randfragment_110_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:138198485:138199022:R	cluster_3_node_1_2motifs	D	356	381	-1.5
randfragment_111_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000018.10:67614065:67614367:R	cluster_3_node_1_2motifs	D	236	261	2.4
randfragment_112_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NT_167246.2:3694855:3695206:D	cluster_3_node_1_2motifs	D	103	128	-6.6
randfragment_113_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NT_187602.1:448544:448827:D	cluster_3_node_1_2motifs	D	256	281	-2.9
randfragment_114_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000014.9:29577311:29577642:R	cluster_3_node_1_2motifs	R	281	306	1.4
randfragment_115_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000012.12:10500421:10501189:D	cluster_3_node_1_2motifs	R	213	238	-11.0
randfragment_116_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000009.12:44626812:44627420:D	cluster_3_node_1_2motifs	R	384	409	-6.0
randfragment_117_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:106294561:106295083:D	cluster_3_node_1_2motifs	D	161	186	5.0
randfragment_118_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:78643539:78643923:R	cluster_3_node_1_2motifs	R	48	73	-8.8
randfragment_119_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000009.12:25400977:25401327:D	cluster_3_node_1_2motifs	R	169	194	-9.8
randfragment_120_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000009.12:110596651:110596944:R	cluster_3_node_1_2motifs	R	193	218	2.8
randfragment_121_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:5702115:5702725:D	cluster_3_node_1_2motifs	R	581	606	-6.2
randfragment_122_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NW_011332701.1:3433058:3433567:R	cluster_3_node_1_2motifs	D	229	254	10.8
randfragment_123_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:14249417:14249978:D	cluster_3_node_1_2motifs	D	67	92	3.6
randfragment_124_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:38465863:38466484:R	cluster_3_node_1_2motifs	R	330	355	-5.7
randfragment_125_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:237756860:237757602:R	cluster_3_node_1_2motifs	D	276	301	-6.0
randfragment_126_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000003.12:122613314:122613893:D	cluster_3_node_1_2motifs	R	261	286	-2.4
randfragment_127_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:90708451:90708996:D	cluster_3_node_1_2motifs	D	37	62	-3.9
randfragment_128_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:39267700:39268147:D	cluster_3_node_1_2motifs	R	370	395	-0.9
randfragment_129_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:132556375:132557361:R	cluster_3_node_1_2motifs	R	205	230	13.9
randfragment_130_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000018.10:10014141:10014443:D	cluster_3_node_1_2motifs	R	169	194	1.3
randfragment_131_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000012.12:102979051:102980101:D	cluster_3_node_1_2motifs	R	702	727	5.0
randfragment_132_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000014.9:37801610:37802129:R	cluster_3_node_1_2motifs	D	15	40	2.3
randfragment_133_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000015.10:93352339:93352631:R	cluster_3_node_1_2motifs	D	110	135	4.5
randfragment_134_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:65177574:65178043:R	cluster_3_node_1_2motifs	D	218	243	-4.8
randfragment_135_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:88935206:88935731:D	cluster_3_node_1_2motifs	R	261	286	-2.1
randfragment_136_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:93505216:93506056:R	cluster_3_node_1_2motifs	D	178	203	-7.0
randfragment_137_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000010.11:35712595:35713058:R	cluster_3_node_1_2motifs	D	337	362	4.6
randfragment_138_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:210359686:210360113:R	cluster_3_node_1_2motifs	D	303	328	-0.4
randfragment_139_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000003.12:111371121:111371783:R	cluster_3_node_1_2motifs	D	611	636	3.3
randfragment_140_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000023.11:39546629:39547235:D	cluster_3_node_1_2motifs	D	39	64	-2.5
randfragment_141_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:106615421:106615968:R	cluster_3_node_1_2motifs	D	362	387	-6.5
randfragment_142_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000003.12:175650615:175651086:D	cluster_3_node_1_2motifs	D	246	271	-4.0
randfragment_143_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:52343449:52343771:D	cluster_3_node_1_2motifs	R	24	49	-5.3
randfragment_144_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:115364465:115364977:D	cluster_3_node_1_2motifs	D	268	293	-4.3
randfragment_145_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:49478998:49479607:R	cluster_3_node_1_2motifs	R	143	168	2.8
randfragment_146_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000023.11:104579580:104580042:D	cluster_3_node_1_2motifs	R	25	50	4.0
randfragment_147_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000018.10:75976934:75977674:R	cluster_3_node_1_2motifs	R	711	736	-1.3
randfragment_148_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000023.11:5036922:5037637:R	cluster_3_node_1_2motifs	D	142	167	-0.6
randfragment_149_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000003.12:7966228:7966736:D	cluster_3_node_1_2motifs	D	100	125	0.6
randfragment_150_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000004.12:83045818:83046294:R	cluster_3_node_1_2motifs	R	249	274	-2.8
randfragment_151_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:65610220:65610880:D	cluster_3_node_1_2motifs	D	307	332	-2.4
randfragment_152_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000024.10:14043237:14043920:R	cluster_3_node_1_2motifs	D	67	92	-8.7
randfragment_153_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:41246074:41246477:D	cluster_3_node_1_2motifs	R	9	34	-7.0
randfragment_154_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000014.9:40285086:40285825:R	cluster_3_node_1_2motifs	R	224	249	-4.4
randfragment_155_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000001.11:105643212:105643827:D	cluster_3_node_1_2motifs	R	510	535	-5.9
randfragment_156_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000011.10:33359658:33360441:D	cluster_3_node_1_2motifs	D	376	401	2.4
randfragment_157_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000008.11:13525958:13526565:R	cluster_3_node_1_2motifs	R	358	383	-11.6
randfragment_158_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000012.12:41730518:41730795:D	cluster_3_node_1_2motifs	D	74	99	-8.0
randfragment_159_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000002.12:108002165:108002440:D	cluster_3_node_1_2motifs	R	6	31	6.5
randfragment_160_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:46921572:46921993:D	cluster_3_node_1_2motifs	D	312	337	5.9
randfragment_161_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000006.12:149489647:149490166:R	cluster_3_node_1_2motifs	D	53	78	-4.5
randfragment_162_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000007.14:62665057:62665405:D	cluster_3_node_1_2motifs	D	11	36	-7.3
randfragment_163_Homo_sapiens_GCF_000001405.40_GRCh38.p14_NC_000005.10:54533640:54534232:D	cluster_3_node_1_2motifs	R	256	281	2.5
